channel,stage,delta,theta,alpha,sigma,beta
EEG Fpz-Cz,N1,0.6132,0.1782,0.0837,0.0363,0.088
EEG Fpz-Cz,N2,0.7225,0.16,0.0414,0.0323,0.0531
EEG Fpz-Cz,N3,0.8708,0.0764,0.0284,0.0221,0.0229
EEG Fpz-Cz,REM,0.6395,0.1786,0.0555,0.0207,0.0252
EEG Fpz-Cz,Wake,0.842,0.0946,0.0224,0.0113,0.0302
EEG Pz-Oz,N1,0.5115,0.2159,0.1381,0.0641,0.1066
EEG Pz-Oz,N2,0.577,0.2194,0.0742,0.0584,0.067
EEG Pz-Oz,N3,0.8222,0.1292,0.0396,0.0312,0.0213
EEG Pz-Oz,REM,0.5581,0.1739,0.1025,0.0291,0.0341
EEG Pz-Oz,Wake,0.4372,0.117,0.1695,0.1043,0.2488
EOG horizontal,N1,0.7754,0.081,0.0513,0.0336,0.0694
EOG horizontal,N2,0.7765,0.0903,0.0456,0.0355,0.0557
EOG horizontal,N3,0.8214,0.1032,0.0378,0.0245,0.024
EOG horizontal,REM,0.8153,0.078,0.0412,0.0266,0.0471
EOG horizontal,Wake,0.8988,0.047,0.0168,0.0105,0.0328
