file,cohort,channel,stage,delta,theta,alpha,sigma,beta
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,Wake,0.8181591758905438,0.1186563268506243,0.02616280242749796,0.012021183806412459,0.028973200664925917
SC4001E0-PSG.edf,SC,EEG Pz-Oz,Wake,0.4930047477257528,0.1620735662566547,0.20519391084012517,0.08125097108658366,0.13047483195875895
SC4001E0-PSG.edf,SC,EOG horizontal,Wake,0.886662728090231,0.044241991518001685,0.019111575971134786,0.01308383838761326,0.04580116635791284
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,N1,0.6368463241455193,0.25178458768563994,0.05275871478557559,0.02375668899940104,0.04493436165412198
SC4001E0-PSG.edf,SC,EEG Pz-Oz,N1,0.5392709569009297,0.30325688136537465,0.10251943125163245,0.02689441970555917,0.04086056777962686
SC4001E0-PSG.edf,SC,EOG horizontal,N1,0.6255132858244605,0.1124826156381291,0.0740638590557465,0.055983333596099145,0.1790169604414415
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,N2,0.8042611082561264,0.1414166057391035,0.021812575490224945,0.01744913259231509,0.019225829527239287
SC4001E0-PSG.edf,SC,EEG Pz-Oz,N2,0.7498161072328525,0.17826768917215446,0.037453052499002396,0.023151258119420814,0.023582557216170735
SC4001E0-PSG.edf,SC,EOG horizontal,N2,0.7617130313055602,0.11143011523033111,0.04982074217320483,0.036592887548471384,0.0687944604802532
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,N3,0.8727179157431936,0.0919786124713413,0.022544693737388686,0.01408092225188827,0.007684240567163803
SC4001E0-PSG.edf,SC,EEG Pz-Oz,N3,0.8276059845639901,0.1301671948817304,0.028078291590417075,0.01180428896738353,0.007907765076372157
SC4001E0-PSG.edf,SC,EOG horizontal,N3,0.7763648314380974,0.13340506696691362,0.04183503112662441,0.026434202778087675,0.04218308907020483
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,REM,0.5817667282859469,0.33873047726103067,0.04744379934069674,0.015971186609153698,0.021071342805463397
SC4001E0-PSG.edf,SC,EEG Pz-Oz,REM,0.548231304048012,0.32225618203274564,0.09765963309899481,0.020465815908792335,0.020049324634946877
SC4001E0-PSG.edf,SC,EOG horizontal,REM,0.7016943467579148,0.1637816875991552,0.052614112496447644,0.03378432247384849,0.07283741836252096
SC4001E0-PSG.edf,SC,Resp oro-nasal,ALL-night-mean,126.9654465408805,171.59601218342294,2706.0,,
SC4001E0-PSG.edf,SC,Temp rectal,ALL-night-mean,36.982217366605795,0.3672271014905939,0.3064516129032242,,
SC4001E0-PSG.edf,SC,EMG submental,ALL-night-mean,2.950010641509434,0.9569469341109612,1.1179999999999999,,
SC4051E0-PSG.edf,SC,EEG Fpz-Cz,Wake,0.9158089322509125,0.0602374119783282,0.010163191896704254,0.0046035443365933845,0.007265934993185178
SC4051E0-PSG.edf,SC,EEG Pz-Oz,Wake,0.4764619629241373,0.13890714906758772,0.15587712164343318,0.09677403286908219,0.21768395581713826
SC4051E0-PSG.edf,SC,EOG horizontal,Wake,0.9352160608168478,0.040383431108928794,0.0094223775120348,0.004948924755811746,0.011935999885821204
SC4051E0-PSG.edf,SC,EEG Fpz-Cz,N1,0.5856683441273981,0.25733097794147364,0.09704813437588554,0.03004294377975996,0.04193214858573859
SC4051E0-PSG.edf,SC,EEG Pz-Oz,N1,0.4732102450073763,0.3375760256806923,0.12985237570134933,0.038050441351582705,0.04381556305435544
SC4051E0-PSG.edf,SC,EOG horizontal,N1,0.7932680802229941,0.10353160421144203,0.040289975687552305,0.028525720662976928,0.05492047559357723
SC4051E0-PSG.edf,SC,EEG Fpz-Cz,N2,0.6385942713909669,0.23632129918187295,0.062158271313708796,0.03786863755061557,0.04734825161187448
SC4051E0-PSG.edf,SC,EEG Pz-Oz,N2,0.5200339613410574,0.3375905198491115,0.07977205783266689,0.04588845575221246,0.049963903679729145
SC4051E0-PSG.edf,SC,EOG horizontal,N2,0.7795519262943783,0.11430206480912021,0.04130840671306994,0.03624481495675526,0.05532273317780844
SC4051E0-PSG.edf,SC,EEG Fpz-Cz,N3,0.8249285636383273,0.1182745695500666,0.03339209739053926,0.020203516345205577,0.01498983403507932
