file,cohort,ch,jump_rate,flat1s_rate,std_med
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,21.731193445248916
SC4001E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,8.14155026623435
SC4001E0-PSG.edf,SC,EOG horizontal,0.0,0.0,69.0433895198172
SC4002E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,27.68606285598915
SC4002E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,9.806867650387112
SC4002E0-PSG.edf,SC,EOG horizontal,0.0,0.0,68.81548022606401
SC4011E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,26.96723638884967
SC4011E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,9.982723750420101
SC4011E0-PSG.edf,SC,EOG horizontal,0.0,0.0,77.34882314349952
SC4012E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,25.76665935311177
SC4012E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,13.231807494823649
SC4012E0-PSG.edf,SC,EOG horizontal,0.0,0.0,96.48971697923918
SC4021E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,14.697281958073287
SC4021E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,13.235954002798579
SC4021E0-PSG.edf,SC,EOG horizontal,0.0,0.0,41.16459995081462
SC4022E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,26.577859156380374
SC4022E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,9.264603843127887
SC4022E0-PSG.edf,SC,EOG horizontal,0.0,0.0,109.29021771818901
SC4031E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,16.20155844447355
SC4031E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,21.62032477816531
SC4031E0-PSG.edf,SC,EOG horizontal,0.0,0.0,95.68664622021883
SC4032E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,27.591933816657864
SC4032E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,14.276171688076062
SC4032E0-PSG.edf,SC,EOG horizontal,0.0,0.0,111.21627598204965
SC4041E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,25.0489504141714
SC4041E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,9.273761816042537
SC4041E0-PSG.edf,SC,EOG horizontal,0.0,0.0,61.38338056964514
SC4042E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,32.98572767226294
SC4042E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,12.118529887288723
SC4042E0-PSG.edf,SC,EOG horizontal,0.0,0.0,69.5726423656163
SC4051E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,38.49516535705553
SC4051E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,14.599542186827232
SC4051E0-PSG.edf,SC,EOG horizontal,0.0,0.0,94.78340513968294
SC4052E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,30.01992957636375
SC4052E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,16.349818325634228
SC4052E0-PSG.edf,SC,EOG horizontal,0.0,0.0,73.24673372856533
SC4061E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,35.0174776752084
SC4061E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,7.669321587044719
SC4061E0-PSG.edf,SC,EOG horizontal,3.333888981496916e-05,0.0,144.5730525198137
SC4062E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,19.84072228284653
SC4062E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,15.664010042814748
SC4062E0-PSG.edf,SC,EOG horizontal,0.0,0.0,92.23305287384267
SC4071E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,16.16394000506976
SC4071E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,10.855810672869673
SC4071E0-PSG.edf,SC,EOG horizontal,0.0,0.0,41.66112125386549
SC4072E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,28.11175735247737
SC4072E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,12.856316247432634
SC4072E0-PSG.edf,SC,EOG horizontal,0.0,0.0,76.55044939256925
SC4081E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,26.90318764798814
SC4081E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,10.416727734622533
SC4081E0-PSG.edf,SC,EOG horizontal,0.0,0.0,87.7274501334361
SC4082E0-PSG.edf,SC,EEG Fpz-Cz,0.0,0.0,31.83734748399164
SC4082E0-PSG.edf,SC,EEG Pz-Oz,0.0,0.0,10.678237039228861
SC4082E0-PSG.edf,SC,EOG horizontal,0.0,0.0,87.58260536235032
