file,ch,sat_frac
SC4001E0-PSG.edf,EEG Fpz-Cz,8.80503144654088e-07
SC4001E0-PSG.edf,EEG Pz-Oz,3.773584905660377e-07
SC4001E0-PSG.edf,EOG horizontal,0.0
SC4002E0-PSG.edf,EEG Fpz-Cz,5.889281507656066e-07
SC4002E0-PSG.edf,EEG Pz-Oz,9.422850412249706e-07
SC4002E0-PSG.edf,EOG horizontal,0.0
SC4011E0-PSG.edf,EEG Fpz-Cz,2.9740661432310254e-06
SC4011E0-PSG.edf,EEG Pz-Oz,0.0
SC4011E0-PSG.edf,EOG horizontal,0.0
SC4012E0-PSG.edf,EEG Fpz-Cz,6.502923976608187e-05
SC4012E0-PSG.edf,EEG Pz-Oz,1.1695906432748539e-07
SC4012E0-PSG.edf,EOG horizontal,0.0
SC4021E0-PSG.edf,EEG Fpz-Cz,0.0
SC4021E0-PSG.edf,EEG Pz-Oz,0.0
SC4021E0-PSG.edf,EOG horizontal,0.0
SC4022E0-PSG.edf,EEG Fpz-Cz,0.00010208030962747944
SC4022E0-PSG.edf,EEG Pz-Oz,0.00013183357522980165
SC4022E0-PSG.edf,EOG horizontal,0.0
SC4031E0-PSG.edf,EEG Fpz-Cz,0.0
SC4031E0-PSG.edf,EEG Pz-Oz,3.770685579196217e-05
SC4031E0-PSG.edf,EOG horizontal,0.0
SC4032E0-PSG.edf,EEG Fpz-Cz,2.440214738897023e-07
SC4032E0-PSG.edf,EEG Pz-Oz,0.0
SC4032E0-PSG.edf,EOG horizontal,0.0
SC4041E0-PSG.edf,EEG Fpz-Cz,5.058365758754864e-06
SC4041E0-PSG.edf,EEG Pz-Oz,0.0
SC4041E0-PSG.edf,EOG horizontal,0.0
SC4042E0-PSG.edf,EEG Fpz-Cz,7.0439350525310415e-06
SC4042E0-PSG.edf,EEG Pz-Oz,5.969436485195798e-06
SC4042E0-PSG.edf,EOG horizontal,0.0
SC4051E0-PSG.edf,EEG Fpz-Cz,0.00010372275287778595
SC4051E0-PSG.edf,EEG Pz-Oz,0.0
SC4051E0-PSG.edf,EOG horizontal,0.0
SC4052E0-PSG.edf,EEG Fpz-Cz,0.00023069612734616298
SC4052E0-PSG.edf,EEG Pz-Oz,8.315514373960561e-07
SC4052E0-PSG.edf,EOG horizontal,0.0
SC4061E0-PSG.edf,EEG Fpz-Cz,0.0013882069795427196
SC4061E0-PSG.edf,EEG Pz-Oz,4.813477737665464e-06
SC4061E0-PSG.edf,EOG horizontal,0.0
SC4062E0-PSG.edf,EEG Fpz-Cz,0.0
SC4062E0-PSG.edf,EEG Pz-Oz,2.3557126030624262e-05
SC4062E0-PSG.edf,EOG horizontal,0.0
SC4071E0-PSG.edf,EEG Fpz-Cz,0.0
SC4071E0-PSG.edf,EEG Pz-Oz,0.0
SC4071E0-PSG.edf,EOG horizontal,0.0
SC4072E0-PSG.edf,EEG Fpz-Cz,2.2984356197352588e-05
SC4072E0-PSG.edf,EEG Pz-Oz,0.0
SC4072E0-PSG.edf,EOG horizontal,0.0
SC4081E0-PSG.edf,EEG Fpz-Cz,0.0
SC4081E0-PSG.edf,EEG Pz-Oz,0.0
SC4081E0-PSG.edf,EOG horizontal,0.0
SC4082E0-PSG.edf,EEG Fpz-Cz,0.0005646671728676284
SC4082E0-PSG.edf,EEG Pz-Oz,5.63148569982283e-05
SC4082E0-PSG.edf,EOG horizontal,0.0
SC4091E0-PSG.edf,EEG Fpz-Cz,0.0
SC4091E0-PSG.edf,EEG Pz-Oz,0.0
SC4091E0-PSG.edf,EOG horizontal,0.0
SC4092E0-PSG.edf,EEG Fpz-Cz,2.3559598787030558e-05
SC4092E0-PSG.edf,EEG Pz-Oz,1.1663167716351761e-07
SC4092E0-PSG.edf,EOG horizontal,0.0
SC4101E0-PSG.edf,EEG Fpz-Cz,0.0
SC4101E0-PSG.edf,EEG Pz-Oz,0.0
SC4101E0-PSG.edf,EOG horizontal,0.0
SC4102E0-PSG.edf,EEG Fpz-Cz,3.032423606251458e-06
SC4102E0-PSG.edf,EEG Pz-Oz,0.0
SC4102E0-PSG.edf,EOG horizontal,0.0
SC4111E0-PSG.edf,EEG Fpz-Cz,0.0
SC4111E0-PSG.edf,EEG Pz-Oz,0.0
SC4111E0-PSG.edf,EOG horizontal,0.0
SC4112E0-PSG.edf,EEG Fpz-Cz,7.434052757793765e-06
SC4112E0-PSG.edf,EEG Pz-Oz,0.0
SC4112E0-PSG.edf,EOG horizontal,0.0
SC4121E0-PSG.edf,EEG Fpz-Cz,0.0
SC4121E0-PSG.edf,EEG Pz-Oz,0.0
SC4121E0-PSG.edf,EOG horizontal,0.0
SC4122E0-PSG.edf,EEG Fpz-Cz,0.0
SC4122E0-PSG.edf,EEG Pz-Oz,0.0
SC4122E0-PSG.edf,EOG horizontal,0.0
SC4131E0-PSG.edf,EEG Fpz-Cz,7.474532101397773e-05
SC4131E0-PSG.edf,EEG Pz-Oz,3.079838900734423e-06
SC4131E0-PSG.edf,EOG horizontal,0.0
SC4141E0-PSG.edf,EEG Fpz-Cz,4.716981132075472e-06
SC4141E0-PSG.edf,EEG Pz-Oz,0.0
SC4141E0-PSG.edf,EOG horizontal,0.0
SC4142E0-PSG.edf,EEG Fpz-Cz,1.9947128094208123e-05
SC4142E0-PSG.edf,EEG Pz-Oz,0.0
SC4142E0-PSG.edf,EOG horizontal,0.0
SC4151E0-PSG.edf,EEG Fpz-Cz,0.0
SC4151E0-PSG.edf,EEG Pz-Oz,0.0
SC4151E0-PSG.edf,EOG horizontal,0.0
SC4152E0-PSG.edf,EEG Fpz-Cz,3.026070763500931e-06
SC4152E0-PSG.edf,EEG Pz-Oz,0.0
SC4152E0-PSG.edf,EOG horizontal,0.0
SC4161E0-PSG.edf,EEG Fpz-Cz,0.00011805026656511805
SC4161E0-PSG.edf,EEG Pz-Oz,0.0003978167047473978
SC4161E0-PSG.edf,EOG horizontal,0.0
SC4162E0-PSG.edf,EEG Fpz-Cz,8.309108527131783e-05
SC4162E0-PSG.edf,EEG Pz-Oz,0.00019307170542635658
SC4162E0-PSG.edf,EOG horizontal,0.0
SC4171E0-PSG.edf,EEG Fpz-Cz,1.2156576707999026e-07
SC4171E0-PSG.edf,EEG Pz-Oz,1.5803549720398735e-06
SC4171E0-PSG.edf,EOG horizontal,0.0
SC4172E0-PSG.edf,EEG Fpz-Cz,5.017131669114048e-06
SC4172E0-PSG.edf,EEG Pz-Oz,1.4684287812041115e-05
SC4172E0-PSG.edf,EOG horizontal,0.0
SC4181E0-PSG.edf,EEG Fpz-Cz,0.0
SC4181E0-PSG.edf,EEG Pz-Oz,0.0
SC4181E0-PSG.edf,EOG horizontal,0.0
SC4182E0-PSG.edf,EEG Fpz-Cz,0.0
SC4182E0-PSG.edf,EEG Pz-Oz,1.8766127140511376e-06
SC4182E0-PSG.edf,EOG horizontal,0.0
SC4191E0-PSG.edf,EEG Fpz-Cz,4.806536890170632e-07
SC4191E0-PSG.edf,EEG Pz-Oz,1.201634222542658e-07
SC4191E0-PSG.edf,EOG horizontal,0.0
SC4192E0-PSG.edf,EEG Fpz-Cz,3.831417624521073e-07
SC4192E0-PSG.edf,EEG Pz-Oz,0.0
SC4192E0-PSG.edf,EOG horizontal,0.0
SC4201E0-PSG.edf,EEG Fpz-Cz,0.000636828340466001
SC4201E0-PSG.edf,EEG Pz-Oz,3.078934854969092e-05
SC4201E0-PSG.edf,EOG horizontal,0.0
SC4202E0-PSG.edf,EEG Fpz-Cz,7.490636704119851e-07
SC4202E0-PSG.edf,EEG Pz-Oz,0.0
SC4202E0-PSG.edf,EOG horizontal,0.0
SC4211E0-PSG.edf,EEG Fpz-Cz,2.2538552787663106e-06
SC4211E0-PSG.edf,EEG Pz-Oz,8.303677342823251e-07
SC4211E0-PSG.edf,EOG horizontal,0.0
SC4212E0-PSG.edf,EEG Fpz-Cz,0.0
