stem,cohort,label,emg_env_med,n
SC4001,SC,Wake,3.4229999999999996,1997
SC4001,SC,REM,0.29486666666666667,125
SC4002,SC,Wake,4.100266666666667,1885
SC4002,SC,REM,0.3988,215
SC4011,SC,Wake,3.1809666666666665,1856
SC4011,SC,REM,0.33886666666666665,170
SC4012,SC,Wake,4.879633333333333,1824
SC4012,SC,REM,1.671533333333333,176
SC4021,SC,Wake,3.4254000000000002,1907
SC4021,SC,REM,0.38086666666666663,163
SC4022,SC,Wake,3.2571333333333334,1871
SC4022,SC,REM,0.5348666666666666,179
SC4031,SC,Wake,3.512966666666667,2008
SC4031,SC,REM,0.4829333333333333,209
SC4032,SC,Wake,3.5424666666666655,1957
SC4032,SC,REM,0.45573333333333327,199
SC4041,SC,Wake,2.952066666666667,1534
SC4041,SC,REM,0.8098666666666667,196
SC4042,SC,Wake,3.0197999999999996,1773
SC4042,SC,REM,0.8493000000000002,270
SC4051,SC,Wake,2.7552000000000003,2258
SC4051,SC,REM,0.7242,68
SC4052,SC,Wake,2.9624000000000006,1780
SC4052,SC,REM,0.9370666666666667,180
SC4061,SC,Wake,2.1883333333333335,2069
SC4061,SC,REM,0.17286666666666667,102
SC4062,SC,Wake,3.9182666666666663,2007
SC4062,SC,REM,0.7226666666666668,187
SC4071,SC,Wake,4.184733333333333,1958
SC4071,SC,REM,0.9542333333333333,198
SC4072,SC,Wake,4.269066666666666,1904
SC4072,SC,REM,1.4085666666666667,168
SC4081,SC,Wake,2.8308666666666666,1985
SC4081,SC,REM,2.2661999999999995,131
SC4082,SC,Wake,3.2280000000000006,1724
SC4082,SC,REM,-0.6050666666666664,260
SC4091,SC,Wake,4.0068,1739
SC4091,SC,REM,0.35323333333333334,232
SC4092,SC,Wake,3.215133333333333,1079
SC4092,SC,REM,0.4289333333333334,265
SC4101,SC,Wake,4.047433333333334,1770
SC4101,SC,REM,0.37686666666666657,207
SC4102,SC,Wake,3.8556666666666675,1909
SC4102,SC,REM,0.9242,199
SC4111,SC,Wake,2.828933333333333,1839
SC4111,SC,REM,2.4794000000000005,158
SC4112,SC,Wake,3.335633333333334,2104
SC4112,SC,REM,3.3728,151
SC4121,SC,Wake,4.1593333333333335,1809
SC4121,SC,REM,0.839,258
SC4122,SC,Wake,2.8784,1919
SC4122,SC,REM,0.8307333333333334,199
SC4131,SC,Wake,3.6254,1941
SC4131,SC,REM,0.7541333333333333,172
SC4141,SC,Wake,3.507733333333334,1939
SC4141,SC,REM,0.5499333333333334,233
SC4142,SC,Wake,3.110133333333333,2003
SC4142,SC,REM,0.9077333333333333,213
SC4151,SC,Wake,3.0876000000000006,1836
SC4151,SC,REM,1.2369666666666665,208
SC4152,SC,Wake,3.5029666666666666,1904
SC4152,SC,REM,2.8123666666666667,292
SC4161,SC,Wake,4.789066666666668,1693
SC4161,SC,REM,3.6062666666666665,260
SC4162,SC,Wake,3.7378,1926
SC4162,SC,REM,1.302066666666667,195
SC4171,SC,Wake,3.994333333333334,1915
SC4171,SC,REM,0.5809,262
SC4172,SC,Wake,4.078866666666666,1636
SC4172,SC,REM,3.5576000000000003,165
SC4181,SC,Wake,3.0198666666666667,1930
SC4181,SC,REM,1.6165333333333334,118
SC4182,SC,Wake,1.5914,2069
SC4182,SC,REM,2.3665333333333334,116
SC4191,SC,Wake,2.5562666666666667,1427
SC4191,SC,REM,0.6173666666666667,286
SC4192,SC,Wake,3.4995333333333334,1707
SC4192,SC,REM,2.278766666666667,332
SC4201,SC,Wake,3.3974,2044
SC4201,SC,REM,3.2420666666666667,177
SC4202,SC,Wake,3.6317000000000004,1864
SC4202,SC,REM,2.148066666666667,207
SC4211,SC,Wake,3.384933333333333,1972
SC4211,SC,REM,0.4256,151
SC4212,SC,Wake,2.9083333333333337,2075
SC4212,SC,REM,0.17053333333333331,87
SC4221,SC,Wake,3.0612666666666666,1774
SC4221,SC,REM,1.1560333333333332,182
SC4222,SC,Wake,3.0130666666666674,1819
SC4222,SC,REM,0.9569333333333334,220
SC4231,SC,Wake,2.946766666666667,1966
SC4231,SC,REM,3.0754,212
SC4232,SC,Wake,2.8981666666666666,1822
SC4232,SC,REM,2.788,217
SC4241,SC,Wake,4.1368,1873
SC4241,SC,REM,0.3544999999999999,184
SC4242,SC,Wake,3.9118000000000004,1879
SC4242,SC,REM,0.5670999999999999,176
SC4251,SC,Wake,3.823666666666667,1921
SC4251,SC,REM,0.5029333333333333,146
SC4252,SC,Wake,3.8096000000000005,1855
SC4252,SC,REM,0.4194,174
SC4261,SC,Wake,4.463333333333334,1830
SC4261,SC,REM,0.16060000000000002,226
SC4262,SC,Wake,4.303066666666667,1907
SC4262,SC,REM,0.27799999999999997,193
SC4271,SC,Wake,4.0009,1556
SC4271,SC,REM,0.4157,174
SC4272,SC,Wake,4.021866666666666,2003
SC4272,SC,REM,0.23613333333333336,223
SC4281,SC,Wake,3.8482333333333334,1854
SC4281,SC,REM,0.7259333333333333,169
SC4282,SC,Wake,2.9494,1948
SC4282,SC,REM,0.8245666666666667,166
SC4291,SC,Wake,3.0948666666666673,1869
SC4291,SC,REM,0.6134666666666668,175
SC4292,SC,Wake,2.9852000000000003,1935
SC4292,SC,REM,0.5685,220
SC4301,SC,Wake,3.9768999999999997,1926
SC4301,SC,REM,1.2333333333333334,122
SC4302,SC,Wake,3.7234,2127
SC4302,SC,REM,3.8225333333333333,135
SC4311,SC,Wake,2.835633333333333,1974
SC4311,SC,REM,0.34043333333333337,142
SC4312,SC,Wake,2.8281333333333336,1832
SC4312,SC,REM,2.399666666666667,191
SC4321,SC,Wake,2.7903333333333333,1775
SC4321,SC,REM,0.13056666666666666,286
SC4322,SC,Wake,3.3896666666666673,1755
SC4322,SC,REM,0.27580000000000005,241
SC4331,SC,Wake,3.817300000000001,1976
SC4331,SC,REM,1.0377666666666667,168
SC4332,SC,Wake,1.2558000000000002,1881
SC4332,SC,REM,1.2433666666666665,138
SC4341,SC,Wake,2.660266666666667,1867
SC4341,SC,REM,0.13143333333333335,172
SC4342,SC,Wake,3.2723666666666666,1892
SC4342,SC,REM,3.301266666666667,166
SC4351,SC,Wake,2.684200000000001,2085
SC4351,SC,REM,0.20840000000000003,24
SC4352,SC,Wake,3.1772000000000005,1789
SC4352,SC,REM,-0.9262666666666667,72
SC4362,SC,Wake,4.429172706696168,1598
SC4362,SC,REM,0.5821545738918135,68
SC4371,SC,Wake,4.6177,2076
SC4371,SC,REM,0.1474,45
SC4372,SC,Wake,4.8891333333333336,2013
SC4372,SC,REM,0.22093333333333334,106
SC4381,SC,Wake,2.9954000000000005,1867
SC4381,SC,REM,0.14840000000000003,160
SC4382,SC,Wake,2.631533333333333,1878
SC4382,SC,REM,1.3081333333333331,169
SC4401,SC,Wake,3.1160333333333337,1976
SC4401,SC,REM,0.278,110
SC4402,SC,Wake,3.1888000000000005,1927
SC4402,SC,REM,0.5247333333333333,254
SC4411,SC,Wake,6.616533333333334,1831
SC4411,SC,REM,1.6643000000000001,204
SC4412,SC,Wake,3.6274666666666673,2019
SC4412,SC,REM,1.6190333333333333,100
SC4421,SC,Wake,3.0121,2126
SC4421,SC,REM,0.7939666666666667,158
SC4422,SC,Wake,2.8843333333333336,2013
SC4422,SC,REM,0.8793666666666666,88
SC4431,SC,Wake,3.3594333333333335,2166
SC4431,SC,REM,1.3041333333333331,81
SC4432,SC,Wake,3.1052999999999997,1968
SC4432,SC,REM,-0.9334000000000002,197
SC4441,SC,Wake,3.0192,1841
SC4441,SC,REM,1.1302333333333334,100
SC4442,SC,Wake,3.237233333333334,1968
SC4442,SC,REM,0.3196333333333333,96
SC4451,SC,Wake,3.282666666666666,1851
SC4451,SC,REM,0.5102,139
SC4452,SC,Wake,3.3942666666666668,1695
SC4452,SC,REM,0.6336666666666666,188
SC4461,SC,Wake,3.5368,1908
SC4461,SC,REM,0.3494333333333333,176
SC4462,SC,Wake,3.5651999999999995,1979
SC4462,SC,REM,0.33553333333333335,186
SC4471,SC,Wake,3.0927333333333333,1917
SC4471,SC,REM,1.0587666666666669,120
SC4472,SC,Wake,2.7666,2065
SC4472,SC,REM,1.4275333333333333,120
SC4481,SC,Wake,3.2433333333333336,1779
SC4481,SC,REM,0.43346666666666667,236
SC4482,SC,Wake,3.1735333333333333,1938
SC4482,SC,REM,0.36719999999999997,160
SC4491,SC,Wake,4.4684,1909
SC4491,SC,REM,0.7077333333333331,216
SC4492,SC,Wake,3.544766666666667,1402
SC4492,SC,REM,3.5884666666666676,133
SC4501,SC,Wake,3.4124666666666674,1963
SC4501,SC,REM,0.5639333333333333,193
SC4502,SC,Wake,3.4916333333333336,1966
