psg_file,sig_epochs,hyp_epochs,diff
SC4001E0-PSG.edf,2650.0,2880,230.0
SC4002E0-PSG.edf,2830.0,2880,50.0
SC4011E0-PSG.edf,2802.0,2880,78.0
SC4012E0-PSG.edf,2850.0,2880,30.0
SC4021E0-PSG.edf,2804.0,2880,76.0
SC4022E0-PSG.edf,2756.0,2880,124.0
SC4031E0-PSG.edf,2820.0,2880,60.0
SC4032E0-PSG.edf,2732.0,2880,148.0
SC4041E0-PSG.edf,2570.0,2880,310.0
SC4042E0-PSG.edf,2792.0,2880,88.0
SC4051E0-PSG.edf,2722.0,2880,158.0
SC4052E0-PSG.edf,2806.0,2880,74.0
SC4061E0-PSG.edf,2770.0,2880,110.0
SC4062E0-PSG.edf,2830.0,2880,50.0
SC4071E0-PSG.edf,2810.0,2880,70.0
SC4072E0-PSG.edf,2770.0,2880,110.0
SC4081E0-PSG.edf,2796.0,2880,84.0
SC4082E0-PSG.edf,2634.0,2880,246.0
SC4091E0-PSG.edf,2732.0,2880,148.0
SC4092E0-PSG.edf,2858.0,2880,22.0
SC4101E0-PSG.edf,2720.0,2880,160.0
SC4102E0-PSG.edf,2858.0,2880,22.0
SC4111E0-PSG.edf,2642.0,2880,238.0
SC4112E0-PSG.edf,2780.0,2880,100.0
SC4121E0-PSG.edf,2786.0,2880,94.0
SC4122E0-PSG.edf,2606.0,2880,274.0
SC4131E0-PSG.edf,2814.0,2880,66.0
SC4141E0-PSG.edf,2756.0,2880,124.0
SC4142E0-PSG.edf,2774.0,2880,106.0
SC4151E0-PSG.edf,2620.0,2880,260.0
SC4152E0-PSG.edf,2864.0,2880,16.0
SC4161E0-PSG.edf,2626.0,2880,254.0
SC4162E0-PSG.edf,2752.0,2880,128.0
SC4171E0-PSG.edf,2742.0,2880,138.0
SC4172E0-PSG.edf,2724.0,2880,156.0
SC4181E0-PSG.edf,2756.0,2880,124.0
SC4182E0-PSG.edf,2842.0,2880,38.0
SC4191E0-PSG.edf,2774.0,2880,106.0
SC4192E0-PSG.edf,2610.0,2880,270.0
SC4201E0-PSG.edf,2804.0,2880,76.0
SC4202E0-PSG.edf,2670.0,2880,210.0
SC4211E0-PSG.edf,2810.0,2880,70.0
SC4212E0-PSG.edf,2694.0,2880,186.0
SC4221E0-PSG.edf,2700.0,2880,180.0
SC4222E0-PSG.edf,2760.0,2880,120.0
SC4231E0-PSG.edf,2746.0,2880,134.0
SC4232E0-PSG.edf,2640.0,2880,240.0
SC4241E0-PSG.edf,2702.0,2880,178.0
SC4242E0-PSG.edf,2710.0,2880,170.0
SC4251E0-PSG.edf,2760.0,2880,120.0
SC4252E0-PSG.edf,2666.0,2880,214.0
SC4261F0-PSG.edf,2800.0,2880,80.0
SC4262F0-PSG.edf,2720.0,2880,160.0
SC4271F0-PSG.edf,2440.0,2880,440.0
SC4272F0-PSG.edf,2870.0,2880,10.0
SC4281G0-PSG.edf,2788.0,2880,92.0
SC4282G0-PSG.edf,2814.0,2880,66.0
SC4291G0-PSG.edf,2756.0,2880,124.0
SC4292G0-PSG.edf,2810.0,2880,70.0
SC4301E0-PSG.edf,2646.0,2880,234.0
SC4302E0-PSG.edf,2808.0,2880,72.0
SC4311E0-PSG.edf,2670.0,2880,210.0
SC4312E0-PSG.edf,2700.0,2880,180.0
SC4321E0-PSG.edf,2690.0,2880,190.0
SC4322E0-PSG.edf,2616.0,2880,264.0
SC4331F0-PSG.edf,2810.0,2880,70.0
SC4332F0-PSG.edf,2760.0,2880,120.0
SC4341F0-PSG.edf,2750.0,2880,130.0
SC4342F0-PSG.edf,2790.0,2880,90.0
SC4351F0-PSG.edf,2710.0,2880,170.0
SC4352F0-PSG.edf,2532.0,2880,348.0
SC4362F0-PSG.edf,2266.0,2880,614.0
SC4371F0-PSG.edf,2850.0,2880,30.0
SC4372F0-PSG.edf,2840.0,2880,40.0
SC4381F0-PSG.edf,2750.0,2880,130.0
SC4382F0-PSG.edf,2770.0,2880,110.0
SC4401E0-PSG.edf,2630.0,2880,250.0
SC4402E0-PSG.edf,2790.0,2880,90.0
SC4411E0-PSG.edf,2728.0,2880,152.0
SC4412E0-PSG.edf,2858.0,2880,22.0
SC4421E0-PSG.edf,2764.0,2880,116.0
SC4422E0-PSG.edf,2682.0,2880,198.0
SC4431E0-PSG.edf,2810.0,2880,70.0
SC4432E0-PSG.edf,2780.0,2880,100.0
SC4441E0-PSG.edf,2620.0,2880,260.0
SC4442E0-PSG.edf,2778.0,2880,102.0
SC4451F0-PSG.edf,2790.0,2880,90.0
SC4452F0-PSG.edf,2670.0,2880,210.0
SC4461F0-PSG.edf,2696.0,2880,184.0
SC4462F0-PSG.edf,2856.0,2880,24.0
SC4471F0-PSG.edf,2740.0,2880,140.0
SC4472F0-PSG.edf,2790.0,2880,90.0
SC4481F0-PSG.edf,2880.0,2880,0.0
SC4482F0-PSG.edf,2880.0,2880,0.0
SC4491G0-PSG.edf,2800.0,2880,80.0
SC4492G0-PSG.edf,2136.0,2880,744.0
SC4501E0-PSG.edf,2750.0,2880,130.0
SC4502E0-PSG.edf,2770.0,2880,110.0
SC4511E0-PSG.edf,2712.0,2880,168.0
SC4512E0-PSG.edf,2750.0,2880,130.0
SC4522E0-PSG.edf,2774.0,2880,106.0
SC4531E0-PSG.edf,2602.0,2880,278.0
SC4532E0-PSG.edf,2744.0,2880,136.0
SC4541F0-PSG.edf,2740.0,2880,140.0
SC4542F0-PSG.edf,2680.0,2880,200.0
SC4551F0-PSG.edf,2772.0,2880,108.0
SC4552F0-PSG.edf,2810.0,2880,70.0
SC4561F0-PSG.edf,2704.0,2880,176.0
SC4562F0-PSG.edf,2800.0,2880,80.0
SC4571F0-PSG.edf,2850.0,2880,30.0
SC4572F0-PSG.edf,2880.0,2880,0.0
SC4581G0-PSG.edf,2738.0,2880,142.0
SC4582G0-PSG.edf,2634.0,2880,246.0
SC4591G0-PSG.edf,2820.0,2880,60.0
SC4592G0-PSG.edf,2040.0,2880,840.0
SC4601E0-PSG.edf,2730.0,2880,150.0
SC4602E0-PSG.edf,2800.0,2880,80.0
SC4611E0-PSG.edf,2650.0,2880,230.0
SC4612E0-PSG.edf,2730.0,2880,150.0
SC4621E0-PSG.edf,2612.0,2880,268.0
SC4622E0-PSG.edf,2856.0,2880,24.0
SC4631E0-PSG.edf,2758.0,2880,122.0
SC4632E0-PSG.edf,2848.0,2880,32.0
SC4641E0-PSG.edf,2680.0,2880,200.0
SC4642E0-PSG.edf,2790.0,2880,90.0
SC4651E0-PSG.edf,2860.0,2880,20.0
SC4652E0-PSG.edf,2840.0,2880,40.0
SC4661E0-PSG.edf,2740.0,2880,140.0
SC4662E0-PSG.edf,2820.0,2880,60.0
SC4671G0-PSG.edf,2780.0,2880,100.0
SC4672G0-PSG.edf,2580.0,2880,300.0
SC4701E0-PSG.edf,2680.0,2880,200.0
SC4702E0-PSG.edf,2624.0,2880,256.0
SC4711E0-PSG.edf,2730.0,2880,150.0
SC4712E0-PSG.edf,2820.0,2880,60.0
SC4721E0-PSG.edf,2342.0,2880,538.0
SC4722E0-PSG.edf,2746.0,2880,134.0
SC4731E0-PSG.edf,2780.0,2880,100.0
SC4732E0-PSG.edf,2520.0,2880,360.0
SC4741E0-PSG.edf,2690.0,2880,190.0
SC4742E0-PSG.edf,2650.0,2880,230.0
SC4751E0-PSG.edf,2680.0,2880,200.0
SC4752E0-PSG.edf,2470.0,2880,410.0
SC4761E0-PSG.edf,2630.0,2880,250.0
SC4762E0-PSG.edf,2810.0,2880,70.0
SC4771G0-PSG.edf,2756.0,2880,124.0
SC4772G0-PSG.edf,2242.0,2880,638.0
SC4801G0-PSG.edf,2774.0,2880,106.0
SC4802G0-PSG.edf,2810.0,2880,70.0
SC4811G0-PSG.edf,2402.0,2880,478.0
SC4812G0-PSG.edf,2416.0,2880,464.0
SC4821G0-PSG.edf,2722.0,2880,158.0
SC4822G0-PSG.edf,2810.0,2880,70.0
ST7011J0-PSG.edf,1196.6666666666667,1092,-104.66666666666674
ST7012J0-PSG.edf,1044.0,1040,-4.0
ST7021J0-PSG.edf,1020.0,920,-100.0
ST7022J0-PSG.edf,1025.3333333333333,944,-81.33333333333326
ST7041J0-PSG.edf,1038.6666666666667,1008,-30.666666666666742
ST7042J0-PSG.edf,1157.0,1131,-26.0
ST7051J0-PSG.edf,1073.3333333333333,1018,-55.33333333333326
ST7052J0-PSG.edf,1094.3333333333333,1034,-60.33333333333326
ST7061J0-PSG.edf,1085.6666666666667,1008,-77.66666666666674
ST7062J0-PSG.edf,1092.6666666666667,952,-140.66666666666674
ST7071J0-PSG.edf,915.3333333333334,821,-94.33333333333337
ST7072J0-PSG.edf,915.3333333333334,915,-0.33333333333337123
ST7081J0-PSG.edf,966.6666666666666,967,0.33333333333337123
ST7082J0-PSG.edf,951.0,931,-20.0
ST7091J0-PSG.edf,995.3333333333334,943,-52.33333333333337
ST7092J0-PSG.edf,962.3333333333334,923,-39.33333333333337
ST7101J0-PSG.edf,1098.6666666666667,1049,-49.66666666666674
ST7102J0-PSG.edf,994.0,986,-8.0
ST7111J0-PSG.edf,1046.6666666666667,1023,-23.666666666666742
ST7112J0-PSG.edf,1022.3333333333334,986,-36.33333333333337
ST7121J0-PSG.edf,1040.0,1035,-5.0
ST7122J0-PSG.edf,1011.6666666666666,969,-42.66666666666663
ST7131J0-PSG.edf,922.0,859,-63.0
ST7132J0-PSG.edf,899.3333333333334,852,-47.33333333333337
ST7141J0-PSG.edf,920.3333333333334,862,-58.33333333333337
ST7142J0-PSG.edf,917.0,882,-35.0
ST7151J0-PSG.edf,1283.6666666666667,897,-386.66666666666674
ST7152J0-PSG.edf,1075.0,1045,-30.0
ST7161J0-PSG.edf,1110.0,1057,-53.0
ST7162J0-PSG.edf,1001.3333333333334,988,-13.333333333333371
ST7171J0-PSG.edf,964.3333333333334,965,0.6666666666666288
ST7172J0-PSG.edf,1006.6666666666666,1006,-0.6666666666666288
ST7181J0-PSG.edf,1029.3333333333333,959,-70.33333333333326
ST7182J0-PSG.edf,1131.3333333333333,967,-164.33333333333326
ST7191J0-PSG.edf,1126.3333333333333,955,-171.33333333333326
ST7192J0-PSG.edf,1096.6666666666667,931,-165.66666666666674
ST7201J0-PSG.edf,970.6666666666666,924,-46.66666666666663
ST7202J0-PSG.edf,1000.0,900,-100.0
ST7211J0-PSG.edf,1079.0,1077,-2.0
ST7212J0-PSG.edf,1054.0,1010,-44.0
ST7221J0-PSG.edf,1098.6666666666667,1033,-65.66666666666674
ST7222J0-PSG.edf,958.0,951,-7.0
ST7241J0-PSG.edf,1087.0,1024,-63.0
ST7242J0-PSG.edf,982.6666666666666,940,-42.66666666666663
