fold,subject
0,SC409
0,SC419
0,SC405
0,SC404
0,SC430
0,SC424
0,SC434
0,SC481
0,SC435
0,SC453
0,SC440
0,SC447
0,SC443
0,SC470
0,SC460
0,ST704
0,ST721
0,ST706
0,ST708
0,ST715
1,SC411
1,SC402
1,SC415
1,SC416
1,SC420
1,SC429
1,SC431
1,SC428
1,SC446
1,SC458
1,SC442
1,SC450
1,SC477
1,SC471
1,SC474
1,SC473
1,ST712
1,ST720
1,ST724
1,ST718
2,SC410
2,SC414
2,SC407
2,SC401
2,SC438
2,SC426
2,SC427
2,SC422
2,SC457
2,SC449
2,SC452
2,SC456
2,SC464
2,SC466
2,SC463
2,SC461
2,ST710
2,ST719
2,ST709
2,ST722
3,SC408
3,SC413
3,SC418
3,SC400
3,SC423
3,SC437
3,SC480
3,SC432
3,SC433
3,SC448
3,SC459
3,SC454
3,SC444
3,SC472
3,SC476
3,ST714
3,ST705
3,ST702
3,ST701
3,ST716
4,SC403
4,SC412
4,SC417
4,SC406
4,SC421
4,SC436
4,SC482
4,SC425
4,SC441
4,SC445
4,SC451
4,SC455
4,SC467
4,SC465
4,SC462
4,SC475
4,ST711
4,ST713
4,ST717
4,ST707
