psg_file,cohort,nchan,labels,sfreqs,duration_sec
SC4001E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,79500.0
SC4002E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84900.0
SC4011E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84060.0
SC4012E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,85500.0
SC4021E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84120.0
SC4022E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,82680.0
SC4031E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84600.0
SC4032E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81960.0
SC4041E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,77100.0
SC4042E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83760.0
SC4051E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,81660.0
SC4052E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84180.0
SC4061E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83100.0
SC4062E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84900.0
SC4071E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,84300.0
SC4072E0-PSG.edf,SC,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,100.0|100.0|100.0|1.0|1.0|1.0|1.0,83100.0
