file,cohort,channel,sf,n,mean,std,rms,min,max,p1,p99,nan,flat_frac
ST7011J0-PSG.edf,ST,EEG Fpz-Cz,100.0,3590000,-205.65836952734986,669.6487729855679,700.5175544679264,-2812.4885552096684,2986.0831349569676,-2353.232008789599,137.8868339132027,0,0.10095292744548034
ST7011J0-PSG.edf,ST,EEG Pz-Oz,100.0,3590000,-205.6685634626694,666.3826409627653,697.3990121682905,-2437.465665629006,2966.3065372642372,-2353.232008789599,104.19337117744003,0,0.10957133585330321
ST7011J0-PSG.edf,ST,EOG horizontal,100.0,3590000,-205.67903089978614,668.6683535492051,699.5864712743378,-2718.7328328145027,2906.6105108954403,-2353.232008789599,225.41659036806445,0,0.10205042353878423
ST7011J0-PSG.edf,ST,EMG submental,100.0,3590000,-205.6493300940219,665.1874449349507,696.2513797955502,-2999.633766709394,656.8394067020693,-2353.232008789599,60.61160959531221,0,0.1445937175312466
ST7011J0-PSG.edf,ST,Marker,10.0,359000,-0.813949860724234,9.073463917527148,9.10989911241832,-30.0,34.0,-30.0,2.0,0,0.9998328644251929
ST7012J0-PSG.edf,ST,EEG Fpz-Cz,100.0,3132000,0.24858107986434883,43.822791470065795,43.82349649197492,-2324.2995788317157,2625.3433437099434,-96.86870536531771,75.99340780076909,0,0.024189093834910073
ST7012J0-PSG.edf,ST,EEG Pz-Oz,100.0,3132000,0.18474060696970485,15.494701197507757,15.495802473312303,-2508.148690715986,2835.92748580846,-34.24281267167186,30.580479765610693,0,0.03665401230527556
ST7012J0-PSG.edf,ST,EOG horizontal,100.0,3132000,0.257884832024973,61.991907356675625,61.99244375168031,-2883.1715802966487,2648.4160410181285,-195.01922724775682,207.10492583775866,0,0.026903023317443542
ST7012J0-PSG.edf,ST,EMG submental,100.0,3132000,0.24256243564315216,20.57287533629751,20.574305240712814,-2062.4427760483427,2906.6105108954403,-38.271378868339134,33.14411279985351,0,0.10510569957119914
ST7012J0-PSG.edf,ST,Marker,10.0,313200,1.7097318007662836,3.0574799604251255,3.5030510328787314,-30.0,34.0,2.0,2.0,0,0.9997445640026821
ST7021J0-PSG.edf,ST,EEG Fpz-Cz,100.0,3060000,0.12112220582550301,35.44432427275692,35.444531224733225,-1195.5685771836659,2156.5647317341145,-94.67130562168101,89.54403955319539,0,0.10856898225157599
ST7021J0-PSG.edf,ST,EEG Pz-Oz,100.0,3060000,0.11883995006780085,55.03163033888312,55.03175865524574,-843.6183849111884,1463.2851126167368,-120.30763596410914,89.54403955319539,0,0.11082715956588093
ST7021J0-PSG.edf,ST,EOG horizontal,100.0,3060000,0.08324734032048997,68.8466376663173,68.84668799642331,-1758.1029115546603,2517.670756271745,-223.21919062442777,220.65555759018494,0,0.11660822420988304
ST7021J0-PSG.edf,ST,EMG submental,100.0,3060000,0.18094773037091288,10.11599187491893,10.11761007820287,-2601.904413111152,1804.6145394616372,-19.59348104742721,22.889580662882256,0,0.17611168663949883
ST7021J0-PSG.edf,ST,Marker,10.0,306000,-1.1781437908496732,9.577080658536216,9.649274414795453,-30.0,34.0,-30.0,2.0,0,0.9998692767737508
ST7022J0-PSG.edf,ST,EEG Fpz-Cz,100.0,3076000,-68.99204633208306,238.941060936697,248.70209701295775,-2883.1715802966487,2954.9533052554475,-847.2807178172495,127.99853506683758,0,0.09110237679576332
ST7022J0-PSG.edf,ST,EEG Pz-Oz,100.0,3076000,-68.96897982597484,239.12746696772768,248.8747991192307,-2601.904413111152,2086.2479399377403,-847.2807178172495,95.77000549349935,0,0.09366415365459575
ST7022J0-PSG.edf,ST,EOG horizontal,100.0,3076000,-68.87710872866323,256.31611949336644,265.40913552279596,-2921.9923091008973,2719.0990661051087,-847.2807178172495,338.94891045596046,0,0.09719472430014402
ST7022J0-PSG.edf,ST,EMG submental,100.0,3076000,-68.9503972964458,237.07953261814006,246.90253557582886,-2883.1715802966487,2460.904596227797,-847.2807178172495,134.9569675883538,0,0.14065715428203604
ST7022J0-PSG.edf,ST,Marker,10.0,307600,-0.6156566970091027,8.776055280435738,8.797623511712475,-30.0,34.0,-30.0,2.0,0,0.999869956760623
ST7041J0-PSG.edf,ST,EEG Fpz-Cz,100.0,3116000,-1.373249431903526,62.49774671309102,62.512831948456025,-1199.230910089727,1216.0776414576085,-151.8036989562351,155.09979857169017,0,0.029791494837916682
ST7041J0-PSG.edf,ST,EEG Pz-Oz,100.0,3116000,-0.7244504678877104,622.4982262531818,622.4986478032203,-4507.049990844168,4526.460355246292,-2922.3585423915033,2861.933711774404,0,0.03077673548374674
