recording_id,label,delta,theta,alpha,sigma,beta,eog_ptp,emg_rms,pz_delta,pz_alpha,pz_sigma
SC4001E0-PSG.edf,N1,0.6627,0.2242,0.0626,0.0246,0.0458,120.95,2.194,0.5816,0.1162,0.025
SC4001E0-PSG.edf,N2,0.8388,0.1046,0.0336,0.0253,0.018,83.3,2.006,0.8036,0.0396,0.0225
SC4001E0-PSG.edf,N3,0.94,0.0454,0.0115,0.0058,0.0034,121.7,2.0195,0.9216,0.0116,0.0049
SC4001E0-PSG.edf,REM,0.6636,0.2235,0.0682,0.0231,0.0352,206.5,0.341,0.5869,0.1515,0.0255
SC4001E0-PSG.edf,Wake,0.8549,0.0885,0.0206,0.0127,0.0342,572.1,3.423,0.5281,0.1269,0.0803
SC4002E0-PSG.edf,N1,0.6532,0.217,0.059,0.0289,0.0566,114.3,1.567,0.6398,0.0815,0.0268
SC4002E0-PSG.edf,N2,0.8022,0.1221,0.0407,0.0336,0.0282,94.0,1.568,0.7634,0.049,0.0251
SC4002E0-PSG.edf,N3,0.9304,0.0507,0.0136,0.0072,0.0051,130.2,1.201,0.9103,0.0144,0.0059
SC4002E0-PSG.edf,OTHER,0.7624,0.0885,0.0447,0.0375,0.1057,830.0,3.495,0.9229,0.0123,0.0048
SC4002E0-PSG.edf,REM,0.6385,0.2251,0.073,0.031,0.0593,190.5,0.44,0.555,0.1651,0.0294
SC4002E0-PSG.edf,Wake,0.7725,0.102,0.0377,0.0283,0.0823,564.8,4.109,0.4927,0.1455,0.0883
SC4011E0-PSG.edf,N1,0.7807,0.1168,0.0412,0.0199,0.0514,217.3,2.362,0.5696,0.1309,0.0473
SC4011E0-PSG.edf,N2,0.8322,0.1046,0.0308,0.0247,0.0254,85.55,0.9645,0.7326,0.051,0.0329
SC4011E0-PSG.edf,N3,0.9407,0.0468,0.0083,0.0065,0.0053,107.4,0.531,0.848,0.0188,0.0097
SC4011E0-PSG.edf,REM,0.7719,0.1556,0.0365,0.0148,0.0284,256.4,0.402,0.7108,0.0764,0.0288
SC4011E0-PSG.edf,Wake,0.9283,0.0566,0.0086,0.0037,0.0066,643.8,3.182,0.3939,0.149,0.1194
SC4012E0-PSG.edf,N1,0.7632,0.1442,0.0431,0.0226,0.057,252.8,3.6835,0.6859,0.082,0.031
SC4012E0-PSG.edf,N2,0.8366,0.1035,0.0296,0.0258,0.0256,114.3,2.611,0.7243,0.0508,0.0332
SC4012E0-PSG.edf,N3,0.9376,0.0474,0.008,0.0075,0.0061,130.05,1.706,0.8757,0.0158,0.01
SC4012E0-PSG.edf,OTHER,0.8881,0.0753,0.0105,0.0126,0.0262,22.0,0.017,0.8744,0.0142,0.0128
SC4012E0-PSG.edf,REM,0.7646,0.1648,0.0348,0.0152,0.029,412.0,1.698,0.7078,0.0756,0.028
