stem,n_bench,sec,depth_spearman,rem_f1,rem_precision,rem_recall,rem_pred_rate,rem_true_rate,sdi_Wake,sdi_N1,sdi_N2,sdi_N3,sdi_REM
SC4001,841,48.7,0.901,0.7004,0.7411,0.664,0.1332,0.1486,0.115,0.165,0.526,0.948,0.316
SC4002,1127,48.3,0.923,0.5714,0.7407,0.4651,0.1198,0.1908,0.037,0.226,0.505,0.948,0.214
SC4011,1103,39.6,0.423,0.7467,0.6829,0.8235,0.1859,0.1541,0.577,0.234,0.525,0.985,0.518
SC4012,1186,50.4,0.504,0.7005,0.633,0.7841,0.1838,0.1484,0.423,0.227,0.53,0.987,0.438
SC4021,1025,45.0,0.819,0.7697,0.7605,0.7791,0.1629,0.159,0.061,0.115,0.545,0.975,0.405
SC4022,1009,44.2,0.748,0.7152,0.7815,0.6592,0.1497,0.1774,0.255,0.355,0.639,0.991,0.485
SC4031,952,48.7,0.814,0.8926,0.8905,0.8947,0.2206,0.2195,0.033,0.177,0.577,0.977,0.332
SC4032,911,46.0,0.881,0.7232,0.8258,0.6432,0.1701,0.2184,0.019,0.14,0.579,0.983,0.282
SC4041,1235,35.9,0.704,0.6758,0.5495,0.8776,0.2534,0.1587,0.142,0.119,0.421,0.938,0.322
SC4042,1200,38.4,0.78,0.7159,0.7132,0.7185,0.2267,0.225,0.109,0.097,0.44,0.951,0.276
SC4051,672,45.9,0.893,0.7634,0.7937,0.7353,0.0938,0.1012,0.098,0.173,0.576,0.963,0.443
SC4052,1246,44.7,0.743,0.7051,0.6024,0.85,0.2039,0.1445,0.149,0.176,0.424,0.964,0.347
SC4061,843,37.7,0.887,0.7345,0.8667,0.6373,0.089,0.121,0.008,0.103,0.478,0.987,0.312
SC4062,1016,38.9,0.846,0.772,0.7487,0.7968,0.1959,0.1841,0.106,0.179,0.439,0.989,0.467
SC4071,976,38.3,0.856,0.5643,0.9634,0.399,0.084,0.2029,0.077,0.058,0.382,0.935,0.168
SC4072,1273,38.0,0.926,0.629,0.7739,0.5298,0.0903,0.132,0.01,0.067,0.379,0.951,0.155
SC4081,1134,38.9,0.906,0.6641,0.68,0.6489,0.1102,0.1155,0.07,0.155,0.745,0.971,0.517
SC4082,1054,35.8,0.865,0.7292,0.8182,0.6577,0.1983,0.2467,0.229,0.246,0.713,0.983,0.55
SC4091,1132,37.6,0.843,0.6866,0.6793,0.694,0.2094,0.2049,0.028,0.144,0.467,0.929,0.483
SC4092,1104,40.9,0.853,0.7911,0.8553,0.7358,0.2065,0.24,0.013,0.153,0.485,0.979,0.296
SC4101,1104,37.3,0.465,0.663,0.7829,0.5749,0.1377,0.1875,0.214,0.083,0.358,0.903,0.303
SC4102,1092,39.2,0.58,0.6757,0.731,0.6281,0.1566,0.1822,0.236,0.12,0.424,0.945,0.422
SC4111,928,42.4,0.414,0.037,0.75,0.019,0.0043,0.1703,0.053,0.053,0.054,0.29,0.008
SC4112,802,45.7,0.794,0.4569,0.9783,0.298,0.0574,0.1883,0.032,0.134,0.441,0.871,0.167
SC4121,1052,46.2,0.833,0.7826,0.9553,0.6628,0.1702,0.2452,0.068,0.248,0.488,0.981,0.355
SC4122,977,42.7,0.845,0.7069,0.8864,0.5879,0.1351,0.2037,0.096,0.305,0.52,0.988,0.422
SC4131,1028,39.3,0.843,0.8258,0.7989,0.8547,0.179,0.1673,0.062,0.082,0.421,0.979,0.317
SC4141,1004,36.9,0.896,0.8517,0.9622,0.7639,0.1843,0.2321,0.035,0.201,0.501,0.945,0.387
SC4142,952,37.9,0.898,0.4532,0.9692,0.2958,0.0683,0.2237,0.012,0.081,0.321,0.934,0.113
SC4151,952,42.2,0.888,0.7721,0.8727,0.6923,0.1733,0.2185,0.076,0.164,0.54,0.979,0.462
SC4152,1762,47.0,0.889,0.7019,0.9171,0.5685,0.1027,0.1657,0.007,0.17,0.482,0.97,0.341
SC4161,1144,46.9,0.784,0.7895,0.8333,0.75,0.2045,0.2273,0.251,0.265,0.567,0.959,0.476
SC4162,1003,50.9,0.699,0.6826,0.8201,0.5846,0.1386,0.1944,0.209,0.101,0.438,0.904,0.218
SC4171,1002,53.1,0.823,0.6107,0.7844,0.5,0.1667,0.2615,0.349,0.587,0.734,0.969,0.574
SC4172,1773,46.1,0.84,0.574,0.5723,0.5758,0.0936,0.0931,0.134,0.156,0.58,0.97,0.44
SC4181,964,41.0,0.837,0.736,0.697,0.7797,0.1369,0.1224,0.108,0.088,0.439,0.902,0.391
SC4182,920,41.1,0.9,0.5124,0.4921,0.5345,0.137,0.1261,0.03,0.122,0.377,0.944,0.228
SC4191,1535,45.9,0.749,0.5495,0.5769,0.5245,0.1694,0.1863,0.136,0.164,0.442,0.955,0.41
SC4192,1274,47.7,0.818,0.6133,0.8342,0.4849,0.1515,0.2606,0.144,0.169,0.545,0.898,0.362
