window,subset,class,run,model,f1,recall,precision,support,n,coverage
bench,ALL,Wake,E11,AnySleep 3ch,0.9407,0.9243,0.9577,70140,237936,1.0
bench,ALL,N1,E11,AnySleep 3ch,0.6216,0.6576,0.5893,25175,237936,1.0
bench,ALL,N2,E11,AnySleep 3ch,0.8796,0.8943,0.8653,88983,237936,1.0
bench,ALL,N3,E11,AnySleep 3ch,0.7881,0.7278,0.8593,19454,237936,1.0
bench,ALL,REM,E11,AnySleep 3ch,0.9037,0.8974,0.91,34184,237936,1.0
bench,SC,Wake,E11,AnySleep 3ch,0.9427,0.9267,0.9593,65941,195469,0.822
bench,SC,N1,E11,AnySleep 3ch,0.6042,0.6496,0.5648,21522,195469,0.822
bench,SC,N2,E11,AnySleep 3ch,0.868,0.8858,0.8509,69132,195469,0.822
bench,SC,N3,E11,AnySleep 3ch,0.7391,0.6463,0.863,13039,195469,0.822
bench,SC,REM,E11,AnySleep 3ch,0.8887,0.8792,0.8984,25835,195469,0.822
bench,ST,Wake,E11,AnySleep 3ch,0.9088,0.8864,0.9324,4199,42467,0.178
bench,ST,N1,E11,AnySleep 3ch,0.7364,0.7052,0.7706,3653,42467,0.178
bench,ST,N2,E11,AnySleep 3ch,0.9207,0.924,0.9174,19851,42467,0.178
bench,ST,N3,E11,AnySleep 3ch,0.8732,0.8934,0.8538,6415,42467,0.178
bench,ST,REM,E11,AnySleep 3ch,0.9494,0.9538,0.9451,8349,42467,0.178
valid,ALL,Wake,E11,AnySleep 3ch,0.985,0.9801,0.99,289856,457652,1.0
valid,ALL,N1,E11,AnySleep 3ch,0.6181,0.6576,0.583,25175,457652,1.0
valid,ALL,N2,E11,AnySleep 3ch,0.8789,0.8943,0.864,88983,457652,1.0
valid,ALL,N3,E11,AnySleep 3ch,0.7878,0.7278,0.8586,19454,457652,1.0
valid,ALL,REM,E11,AnySleep 3ch,0.9035,0.8974,0.9097,34184,457652,1.0
valid,SC,Wake,E11,AnySleep 3ch,0.9861,0.9814,0.9908,285433,414961,0.907
valid,SC,N1,E11,AnySleep 3ch,0.6003,0.6496,0.558,21522,414961,0.907
valid,SC,N2,E11,AnySleep 3ch,0.8671,0.8858,0.8492,69132,414961,0.907
valid,SC,N3,E11,AnySleep 3ch,0.7387,0.6463,0.8619,13039,414961,0.907
valid,SC,REM,E11,AnySleep 3ch,0.8885,0.8792,0.898,25835,414961,0.907
valid,ST,Wake,E11,AnySleep 3ch,0.9134,0.8919,0.9359,4423,42691,0.093
valid,ST,N1,E11,AnySleep 3ch,0.7363,0.7052,0.7703,3653,42691,0.093
valid,ST,N2,E11,AnySleep 3ch,0.9207,0.924,0.9174,19851,42691,0.093
valid,ST,N3,E11,AnySleep 3ch,0.8732,0.8934,0.8538,6415,42691,0.093
valid,ST,REM,E11,AnySleep 3ch,0.9494,0.9538,0.9451,8349,42691,0.093
bench,ALL,Wake,E11d,AnySleep Fpz+EOG,0.9252,0.896,0.9562,70140,237936,1.0
bench,ALL,N1,E11d,AnySleep Fpz+EOG,0.5919,0.6115,0.5736,25175,237936,1.0
bench,ALL,N2,E11d,AnySleep Fpz+EOG,0.8796,0.8894,0.8699,88983,237936,1.0
bench,ALL,N3,E11d,AnySleep Fpz+EOG,0.8119,0.8145,0.8093,19454,237936,1.0
bench,ALL,REM,E11d,AnySleep Fpz+EOG,0.9048,0.9133,0.8966,34184,237936,1.0
bench,SC,Wake,E11d,AnySleep Fpz+EOG,0.9269,0.898,0.9576,65941,195469,0.822
bench,SC,N1,E11d,AnySleep Fpz+EOG,0.573,0.6015,0.547,21522,195469,0.822
bench,SC,N2,E11d,AnySleep Fpz+EOG,0.8704,0.8796,0.8614,69132,195469,0.822
bench,SC,N3,E11d,AnySleep Fpz+EOG,0.7917,0.7858,0.7977,13039,195469,0.822
bench,SC,REM,E11d,AnySleep Fpz+EOG,0.8917,0.9037,0.8801,25835,195469,0.822
bench,ST,Wake,E11d,AnySleep Fpz+EOG,0.898,0.8645,0.9341,4199,42467,0.178
bench,ST,N1,E11d,AnySleep Fpz+EOG,0.7177,0.6704,0.7721,3653,42467,0.178
bench,ST,N2,E11d,AnySleep Fpz+EOG,0.9114,0.9235,0.8996,19851,42467,0.178
bench,ST,N3,E11d,AnySleep Fpz+EOG,0.8516,0.8728,0.8315,6415,42467,0.178
bench,ST,REM,E11d,AnySleep Fpz+EOG,0.9461,0.9431,0.9491,8349,42467,0.178
valid,ALL,Wake,E11d,AnySleep Fpz+EOG,0.9809,0.9721,0.9899,289856,457652,1.0
valid,ALL,N1,E11d,AnySleep Fpz+EOG,0.5859,0.6115,0.5624,25175,457652,1.0
valid,ALL,N2,E11d,AnySleep Fpz+EOG,0.8787,0.8894,0.8683,88983,457652,1.0
valid,ALL,N3,E11d,AnySleep Fpz+EOG,0.8114,0.8145,0.8084,19454,457652,1.0
valid,ALL,REM,E11d,AnySleep Fpz+EOG,0.9039,0.9133,0.8948,34184,457652,1.0
valid,SC,Wake,E11d,AnySleep Fpz+EOG,0.9821,0.9737,0.9907,285433,414961,0.907
valid,SC,N1,E11d,AnySleep Fpz+EOG,0.5663,0.6015,0.5349,21522,414961,0.907
valid,SC,N2,E11d,AnySleep Fpz+EOG,0.8693,0.8796,0.8593,69132,414961,0.907
valid,SC,N3,E11d,AnySleep Fpz+EOG,0.791,0.7858,0.7963,13039,414961,0.907
valid,SC,REM,E11d,AnySleep Fpz+EOG,0.8905,0.9037,0.8778,25835,414961,0.907
valid,ST,Wake,E11d,AnySleep Fpz+EOG,0.9033,0.8714,0.9377,4423,42691,0.093
valid,ST,N1,E11d,AnySleep Fpz+EOG,0.7177,0.6704,0.7721,3653,42691,0.093
valid,ST,N2,E11d,AnySleep Fpz+EOG,0.9114,0.9235,0.8996,19851,42691,0.093
valid,ST,N3,E11d,AnySleep Fpz+EOG,0.8516,0.8728,0.8315,6415,42691,0.093
valid,ST,REM,E11d,AnySleep Fpz+EOG,0.9461,0.9431,0.9491,8349,42691,0.093
bench,ALL,Wake,E11c,AnySleep 2EEG,0.9381,0.9228,0.9539,70140,237936,1.0
bench,ALL,N1,E11c,AnySleep 2EEG,0.5945,0.6077,0.5818,25175,237936,1.0
bench,ALL,N2,E11c,AnySleep 2EEG,0.8712,0.8887,0.8543,88983,237936,1.0
bench,ALL,N3,E11c,AnySleep 2EEG,0.7851,0.7502,0.8233,19454,237936,1.0
bench,ALL,REM,E11c,AnySleep 2EEG,0.8782,0.8692,0.8872,34184,237936,1.0
bench,SC,Wake,E11c,AnySleep 2EEG,0.94,0.9227,0.9579,65941,195469,0.822
bench,SC,N1,E11c,AnySleep 2EEG,0.5778,0.6025,0.555,21522,195469,0.822
bench,SC,N2,E11c,AnySleep 2EEG,0.8612,0.8817,0.8416,69132,195469,0.822
bench,SC,N3,E11c,AnySleep 2EEG,0.7476,0.6882,0.8183,13039,195469,0.822
bench,SC,REM,E11c,AnySleep 2EEG,0.8586,0.848,0.8695,25835,195469,0.822
bench,ST,Wake,E11c,AnySleep 2EEG,0.9093,0.924,0.895,4199,42467,0.178
bench,ST,N1,E11c,AnySleep 2EEG,0.7082,0.6389,0.7944,3653,42467,0.178
