window,subset,class,run,model,f1,recall,precision,support,n,coverage,rank
bench,ALL,N1,E19b,Ens v2 +bias,0.6378,0.6912,0.5921,25116,237310,0.997,1
bench,ALL,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6354,0.6497,0.6218,25116,237310,0.997,2
bench,ALL,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.6244,0.6812,0.5764,25175,237936,1.0,3
bench,ALL,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8925,0.904,0.8812,88654,237310,0.997,1
bench,ALL,N2,E19b,Ens v2 +bias,0.8907,0.8925,0.8889,88654,237310,0.997,2
bench,ALL,N2,E21,U-Sleep CSDP (open),0.8837,0.9031,0.8652,88983,237936,1.0,3
bench,ALL,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8331,0.8297,0.8366,19432,237310,0.997,1
bench,ALL,N3,E19b,Ens v2 +bias,0.8331,0.8296,0.8367,19432,237310,0.997,2
bench,ALL,N3,E18,Ens ANYx3+LGBM+bias,0.8253,0.8193,0.8313,19432,237310,0.997,3
bench,ALL,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9154,0.9154,0.9155,34084,237310,0.997,1
bench,ALL,REM,E19b,Ens v2 +bias,0.9149,0.9179,0.9119,34084,237310,0.997,2
bench,ALL,REM,E21,U-Sleep CSDP (open),0.914,0.905,0.9233,34184,237936,1.0,3
bench,ALL,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9414,0.9283,0.9549,70140,237936,1.0,1
bench,ALL,Wake,E11,AnySleep 3ch,0.9407,0.9243,0.9577,70140,237936,1.0,2
bench,ALL,Wake,E17,Ens ANYx3+LGBM,0.9384,0.9197,0.9578,70024,237310,0.997,3
bench,SC,N1,E19b,Ens v2 +bias,0.6241,0.6906,0.5693,21522,195469,0.822,1
bench,SC,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6226,0.648,0.5991,21522,195469,0.822,2
bench,SC,N1,E21,U-Sleep CSDP (open),0.6212,0.6119,0.6308,21522,195469,0.822,3
bench,SC,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.889,0.9033,0.8751,69132,195469,0.822,1
bench,SC,N2,E21,U-Sleep CSDP (open),0.8872,0.912,0.8638,69132,195469,0.822,2
bench,SC,N2,E19b,Ens v2 +bias,0.8866,0.8898,0.8834,69132,195469,0.822,3
bench,SC,N3,E19b,Ens v2 +bias,0.8223,0.7932,0.8536,13039,195469,0.822,1
bench,SC,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8222,0.7932,0.8534,13039,195469,0.822,2
bench,SC,N3,E18,Ens ANYx3+LGBM+bias,0.8067,0.7803,0.835,13039,195469,0.822,3
bench,SC,REM,E21,U-Sleep CSDP (open),0.9189,0.9185,0.9193,25835,195469,0.822,1
bench,SC,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.909,0.9127,0.9052,25835,195469,0.822,2
bench,SC,REM,E19b,Ens v2 +bias,0.9078,0.9142,0.9016,25835,195469,0.822,3
bench,SC,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9434,0.9308,0.9563,65941,195469,0.822,1
bench,SC,Wake,E11,AnySleep 3ch,0.9427,0.9267,0.9593,65941,195469,0.822,2
bench,SC,Wake,E21,U-Sleep CSDP (open),0.942,0.9267,0.9577,65941,195469,0.822,3
bench,ST,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.7448,0.7416,0.7481,3653,42467,0.178,1
bench,ST,N1,E18,Ens ANYx3+LGBM+bias,0.7394,0.7168,0.7635,3594,41841,0.176,2
bench,ST,N1,E11,AnySleep 3ch,0.7364,0.7052,0.7706,3653,42467,0.178,3
bench,ST,N2,E11,AnySleep 3ch,0.9207,0.924,0.9174,19851,42467,0.178,1
bench,ST,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.9191,0.917,0.9213,19851,42467,0.178,2
bench,ST,N2,E18,Ens ANYx3+LGBM+bias,0.9116,0.9081,0.9152,19522,41841,0.176,3
bench,ST,N3,E11,AnySleep 3ch,0.8732,0.8934,0.8538,6415,42467,0.178,1
bench,ST,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.8691,0.8864,0.8525,6415,42467,0.178,2
bench,ST,N3,E18,Ens ANYx3+LGBM+bias,0.8604,0.899,0.825,6393,41841,0.176,3
bench,ST,REM,E11,AnySleep 3ch,0.9494,0.9538,0.9451,8349,42467,0.178,1
bench,ST,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.9479,0.9517,0.9442,8349,42467,0.178,2
bench,ST,REM,E11d,AnySleep Fpz+EOG,0.9461,0.9431,0.9491,8349,42467,0.178,3
bench,ST,Wake,E17,Ens ANYx3+LGBM,0.9162,0.9074,0.9251,4083,41841,0.176,1
bench,ST,Wake,E18,Ens ANYx3+LGBM+bias,0.9114,0.8905,0.9333,4083,41841,0.176,2
bench,ST,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9096,0.8883,0.932,4199,42467,0.178,3
valid,ALL,N1,E19b,Ens v2 +bias,0.6337,0.6912,0.5851,25116,456997,0.999,1
valid,ALL,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.632,0.6497,0.6153,25116,456997,0.999,2
valid,ALL,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.6213,0.6812,0.5711,25175,457652,1.0,3
valid,ALL,N2,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.892,0.904,0.8803,88654,456997,0.999,1
valid,ALL,N2,E19b,Ens v2 +bias,0.8902,0.8925,0.888,88654,456997,0.999,2
valid,ALL,N2,E17,Ens ANYx3+LGBM,0.8829,0.8981,0.8682,88654,456997,0.999,3
valid,ALL,N3,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.8329,0.8297,0.8361,19432,456997,0.999,1
valid,ALL,N3,E19b,Ens v2 +bias,0.8329,0.8296,0.8362,19432,456997,0.999,2
valid,ALL,N3,E18,Ens ANYx3+LGBM+bias,0.8251,0.8193,0.831,19432,456997,0.999,3
valid,ALL,REM,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.9153,0.9154,0.9152,34084,456997,0.999,1
valid,ALL,REM,E19b,Ens v2 +bias,0.9147,0.9179,0.9116,34084,456997,0.999,2
valid,ALL,REM,E21,U-Sleep CSDP (open),0.9138,0.905,0.9228,34184,457652,1.0,3
valid,ALL,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9852,0.9812,0.9893,289856,457652,1.0,1
valid,ALL,Wake,E11,AnySleep 3ch,0.985,0.9801,0.99,289856,457652,1.0,2
valid,ALL,Wake,E17,Ens ANYx3+LGBM,0.9845,0.979,0.9901,289711,456997,0.999,3
valid,SC,N1,E19b,Ens v2 +bias,0.6195,0.6906,0.5617,21522,414961,0.907,1
valid,SC,N1,E19,Ens v2 ANYx2+USleepCSDP+LGBM,0.6188,0.648,0.5921,21522,414961,0.907,2
valid,SC,N1,E21,U-Sleep CSDP (open),0.617,0.6119,0.6223,21522,414961,0.907,3
