config,stem,n_epochs,macro_bench,Wake,N1,N2,N3,REM,sec
z1_3ch_chunks,SC4001,2650,0.0731,1.0,0.0,0.0,0.0,0.0,6.4
z1_3ch_chunks,SC4041,2570,0.0557,1.0,0.0,0.0,0.0,0.0,4.2
z1_3ch_chunks,ST7011,1196,0.063,1.0,0.0,0.0,0.0,0.0,3.2
rawuV_3ch_chunks,SC4001,2650,0.0731,1.0,0.0,0.0,0.0,0.0,5.9
rawuV_3ch_chunks,SC4041,2570,0.0557,1.0,0.0,0.0,0.0,0.0,6.0
rawuV_3ch_chunks,ST7011,1196,0.063,1.0,0.0,0.0,0.0,0.0,3.2
z26_3ch_chunks,SC4001,2650,0.0731,1.0,0.0,0.0,0.0,0.0,4.8
z26_3ch_chunks,SC4041,2570,0.0557,1.0,0.0,0.0,0.0,0.0,7.0
z26_3ch_chunks,ST7011,1196,0.063,1.0,0.0,0.0,0.0,0.0,2.2
z1_4ch_chunks,SC4001,2650,0.0731,1.0,0.0,0.0,0.0,0.0,6.7
z1_4ch_chunks,SC4041,2570,0.0557,1.0,0.0,0.0,0.0,0.0,6.5
z1_4ch_chunks,ST7011,1196,0.063,1.0,0.0,0.0,0.0,0.0,3.9
z1_3ch_30s_ST,ST7011,1196,0.063,1.0,0.0,0.0,0.0,0.0,7.7
z1_4chEMG_chunks_ST,ST7011,1196,0.063,1.0,0.0,0.0,0.0,0.0,2.9
