stage,layer,a_Fpz,a_Pz,a_EOG
Wake,0,0.4192,0.3295,0.2512
Wake,1,0.2467,0.6138,0.1395
Wake,2,0.4425,0.031,0.5264
Wake,3,0.1284,0.8607,0.0109
Wake,4,0.072,0.9229,0.0051
Wake,5,0.1849,0.6804,0.1347
Wake,6,0.4356,0.0519,0.5124
Wake,7,0.495,0.2253,0.2797
Wake,8,0.1071,0.8842,0.0087
Wake,9,0.2491,0.6909,0.06
Wake,10,0.1412,0.0015,0.8573
Wake,11,0.5851,0.0405,0.3744
Wake,12,0.172,0.6724,0.1556
N1,0,0.3525,0.2647,0.3828
N1,1,0.3164,0.3359,0.3477
N1,2,0.2673,0.385,0.3477
N1,3,0.4725,0.3949,0.1325
N1,4,0.2556,0.7303,0.0141
N1,5,0.2977,0.3945,0.3078
N1,6,0.4023,0.5075,0.0902
N1,7,0.237,0.7356,0.0274
N1,8,0.4303,0.479,0.0907
N1,9,0.3874,0.4848,0.1279
N1,10,0.0441,0.0035,0.9524
N1,11,0.6779,0.3068,0.0153
N1,12,0.2388,0.4625,0.2987
N2,0,0.3311,0.2329,0.4359
N2,1,0.3132,0.2893,0.3975
N2,2,0.2958,0.3988,0.3054
N2,3,0.3629,0.3468,0.2903
N2,4,0.3289,0.6584,0.0127
N2,5,0.3728,0.3758,0.2514
N2,6,0.567,0.3952,0.0377
N2,7,0.4038,0.5797,0.0164
N2,8,0.5027,0.3491,0.1482
N2,9,0.4581,0.402,0.14
N2,10,0.0348,0.0063,0.9588
N2,11,0.6184,0.3762,0.0055
N2,12,0.3752,0.4364,0.1883
N3,0,0.23,0.1582,0.6118
N3,1,0.2713,0.261,0.4677
N3,2,0.3601,0.3155,0.3244
N3,3,0.298,0.2538,0.4482
N3,4,0.3453,0.6046,0.0501
N3,5,0.2703,0.2035,0.5262
N3,6,0.8336,0.138,0.0284
N3,7,0.5861,0.4081,0.0059
N3,8,0.5107,0.257,0.2324
N3,9,0.404,0.4037,0.1923
N3,10,0.0201,0.0177,0.9621
N3,11,0.3402,0.6551,0.0047
N3,12,0.4126,0.5167,0.0707
REM,0,0.3771,0.3872,0.2357
REM,1,0.3552,0.4152,0.2296
REM,2,0.3064,0.4409,0.2527
REM,3,0.4306,0.4365,0.1329
REM,4,0.2615,0.708,0.0305
REM,5,0.348,0.3335,0.3185
REM,6,0.3597,0.5381,0.1023
REM,7,0.2689,0.7191,0.012
REM,8,0.3059,0.5974,0.0968
REM,9,0.309,0.5719,0.1192
REM,10,0.0342,0.0023,0.9635
REM,11,0.698,0.2962,0.0057
REM,12,0.2593,0.2207,0.52
