stem,cohort,layer,a_Fpz,a_Pz,a_EOG
SC4011,SC,0,0.6065693497657776,0.30028727650642395,0.09314335882663727
SC4011,SC,1,0.15663930773735046,0.7306283116340637,0.11273232847452164
SC4011,SC,2,0.8499556183815002,0.008461377583444118,0.14158302545547485
SC4011,SC,3,9.706960554467514e-06,0.9999734163284302,1.6877478628885e-05
SC4011,SC,4,4.8248766688629985e-05,0.9999465942382812,5.154885457159253e-06
SC4011,SC,5,0.17867502570152283,0.5180769562721252,0.30324801802635193
SC4011,SC,6,0.9967643022537231,0.0001546310231788084,0.003081040922552347
SC4011,SC,7,0.8533456325531006,0.08147379755973816,0.06518056243658066
SC4011,SC,8,0.0019109880086034536,0.9960052371025085,0.002083771163597703
SC4011,SC,9,0.005693418905138969,0.9858707785606384,0.008435800671577454
SC4011,SC,10,0.791295051574707,6.781200499972329e-05,0.20863713324069977
SC4011,SC,11,0.7085732817649841,0.2006710171699524,0.0907556489109993
SC4011,SC,12,0.008705515414476395,0.8547465801239014,0.13654793798923492
SC4031,SC,0,0.5891440510749817,0.2976231575012207,0.11323275417089462
SC4031,SC,1,0.24675412476062775,0.6591953039169312,0.09405063092708588
SC4031,SC,2,0.32097822427749634,0.0060058776289224625,0.6730159521102905
SC4031,SC,3,0.0007895046146586537,0.999208390712738,2.171675077988766e-06
SC4031,SC,4,0.046524014323949814,0.9534469246864319,2.9138500394765288e-05
SC4031,SC,5,0.24201177060604095,0.4645044207572937,0.29348382353782654
SC4031,SC,6,0.874002993106842,0.012921139597892761,0.1130758672952652
SC4031,SC,7,0.8616462349891663,0.07715799659490585,0.06119571998715401
SC4031,SC,8,0.06880474835634232,0.9269028306007385,0.004292385187000036
SC4031,SC,9,0.3354003131389618,0.6582766175270081,0.006323083769530058
SC4031,SC,10,0.08759637176990509,0.00038418875192292035,0.9120194315910339
SC4031,SC,11,0.861839234828949,0.061399392783641815,0.07676135748624802
SC4031,SC,12,0.09350930154323578,0.8315479755401611,0.07494271546602249
SC4052,SC,0,0.4677180349826813,0.4499673545360565,0.08231460303068161
SC4052,SC,1,0.30176523327827454,0.49678781628608704,0.20144689083099365
SC4052,SC,2,0.8579487800598145,0.059279829263687134,0.08277127891778946
SC4052,SC,3,0.00020289779058657587,0.999729573726654,6.753994239261374e-05
SC4052,SC,4,0.12925991415977478,0.8706929087638855,4.722745870822109e-05
SC4052,SC,5,0.15150441229343414,0.5957919955253601,0.25270363688468933
SC4052,SC,6,0.8968692421913147,0.03315657749772072,0.06997427344322205
SC4052,SC,7,0.4441302418708801,0.5241668820381165,0.03170285373926163
SC4052,SC,8,0.1764613538980484,0.8184741735458374,0.0050644101575016975
SC4052,SC,9,0.22946669161319733,0.7636590003967285,0.006874284241348505
SC4052,SC,10,0.06047876924276352,0.0010750696528702974,0.9384461641311646
SC4052,SC,11,0.7855103611946106,0.2078966647386551,0.006593036465346813
SC4052,SC,12,0.105166494846344,0.8074618577957153,0.08737161755561829
SC4202,SC,0,0.4733572006225586,0.33284246921539307,0.19380031526088715
SC4202,SC,1,0.12373466789722443,0.7565478682518005,0.11971747130155563
SC4202,SC,2,0.1321076601743698,0.008197303861379623,0.8596950173377991
