class,f1,recall,precision,support,config
Wake,0.9407,0.9243,0.9577,70140,3ch
N1,0.6216,0.6576,0.5893,25175,3ch
N2,0.8796,0.8943,0.8653,88983,3ch
N3,0.7881,0.7278,0.8593,19454,3ch
REM,0.9037,0.8974,0.91,34184,3ch
Wake,0.9381,0.9228,0.9539,70140,2EEG
N1,0.5945,0.6077,0.5818,25175,2EEG
N2,0.8712,0.8887,0.8543,88983,2EEG
N3,0.7851,0.7502,0.8233,19454,2EEG
REM,0.8782,0.8692,0.8872,34184,2EEG
Wake,0.9252,0.896,0.9562,70140,Fpz+EOG
N1,0.5919,0.6115,0.5736,25175,Fpz+EOG
N2,0.8796,0.8894,0.8699,88983,Fpz+EOG
N3,0.8119,0.8145,0.8093,19454,Fpz+EOG
REM,0.9048,0.9133,0.8966,34184,Fpz+EOG
Wake,0.9235,0.9007,0.9474,70140,Fpz
N1,0.5492,0.5198,0.5822,25175,Fpz
N2,0.8641,0.8781,0.8506,88983,Fpz
N3,0.7956,0.8316,0.7625,19454,Fpz
REM,0.8749,0.8943,0.8564,34184,Fpz
Wake,0.8979,0.8707,0.927,70140,Pz
N1,0.5305,0.5292,0.5319,25175,Pz
N2,0.8479,0.8749,0.8226,88983,Pz
N3,0.748,0.7107,0.7895,19454,Pz
REM,0.8436,0.8518,0.8356,34184,Pz
