feature,mean_abs_shap
eeg_iqr_c7min_norm,1.7660710429228772
eeg_abspow,1.1200136172741875
time_hour,0.9675813788250839
eeg_std,0.8980953340217392
eog_nzc_c7min_norm,0.8642701633456031
eeg_dt_c7min_norm,0.759430147401114
eog_nzc_p2min_norm,0.6311065170488593
eeg_theta_c7min_norm,0.6288802769315573
eeg_sigma_p2min_norm,0.6071590967929245
eog_abspow,0.5903517283744738
eeg_perm,0.5881761911118629
eog_std,0.546097593726524
eeg_iqr,0.3592762064791605
eog_theta,0.3217080473897694
eog_alpha_c7min_norm,0.3019931599405323
eog_beta_c7min_norm,0.28890746565152003
eeg_fdelta_c7min_norm,0.27546550147916343
time_norm,0.2608206946055808
eog_fdelta_c7min_norm,0.19222400391333694
eeg_petrosian,0.17514543405872174
eog_beta_p2min_norm,0.15787254822407412
eog_iqr,0.15601668951320077
eog_perm,0.15265930397882807
eeg_ds_p2min_norm,0.15011402137281712
eeg_nzc,0.13608694798192958
eeg_beta_c7min_norm,0.1317869042102676
eog_sdelta_c7min_norm,0.13155778569004814
eeg_beta,0.13086664668258374
eeg_perm_c7min_norm,0.12677826781054732
eog_higuchi_c7min_norm,0.12458580168584665
eeg_db,0.12079585756123927
eog_skew_c7min_norm,0.12009129120276933
eeg_abspow_c7min_norm,0.11565062798572362
eog_std_p2min_norm,0.1137163916441898
eog_petrosian_c7min_norm,0.1067895283277117
eeg_std_c7min_norm,0.10573548061367989
eog_fdelta,0.10166686748683795
eeg_kurt_c7min_norm,0.10106021933975311
eog_abspow_c7min_norm,0.10003877638232206
eog_petrosian,0.09886639822206937
eog_hcomp_c7min_norm,0.09754655952949078
eeg_ds_c7min_norm,0.09298065245062681
eeg_db_c7min_norm,0.09259203819631914
eeg_fdelta,0.0916145494487748
eeg_higuchi,0.08779584139362588
eeg_alpha_c7min_norm,0.08693631624220068
eeg_abspow_p2min_norm,0.08466812036758893
eog_hmob,0.08415760669571315
eog_kurt_c7min_norm,0.08360969882371952
eeg_beta_p2min_norm,0.08104381162764675
eog_abspow_p2min_norm,0.08088008474081938
eog_iqr_c7min_norm,0.07997479705400004
eeg_std_p2min_norm,0.07886393732160252
eog_std_c7min_norm,0.0785739654117982
eeg_kurt,0.07646540101438132
eeg_hcomp_p2min_norm,0.07637545144093275
eog_theta_c7min_norm,0.07558303035671439
eog_sigma,0.07458357421972991
eeg_sigma,0.07424669429470684
eeg_at,0.07242613773907297
eeg_perm_p2min_norm,0.07067419973543292
eog_hcomp,0.06485645796272406
eog_fdelta_p2min_norm,0.05978928726519983
eeg_iqr_p2min_norm,0.059394548197892756
eog_beta,0.05897128440520008
eeg_petrosian_c7min_norm,0.05746486302282959
eog_higuchi,0.057165497530114566
eog_nzc,0.05706846949818847
eog_sdelta_p2min_norm,0.0570261433979877
eeg_theta,0.05690979798133301
eog_higuchi_p2min_norm,0.05678274354322111
eog_perm_c7min_norm,0.05677603946150656
eog_hcomp_p2min_norm,0.05566693495939163
eeg_skew_c7min_norm,0.05499369788696209
eog_sigma_c7min_norm,0.054853142106980605
eog_hmob_c7min_norm,0.053838477486195746
eog_iqr_p2min_norm,0.05363260338656065
eeg_sigma_c7min_norm,0.05348093222015309
eog_petrosian_p2min_norm,0.05264375408483712
eeg_at_c7min_norm,0.050577001077436685
eeg_sdelta_p2min_norm,0.04910617068607127
eeg_hmob_c7min_norm,0.04712130232222513
eeg_hcomp,0.04566528972893636
eeg_nzc_c7min_norm,0.04533617501798947
eeg_skew,0.04429275163002739
eeg_at_p2min_norm,0.04356953593565469
eeg_petrosian_p2min_norm,0.04335791584439066
eeg_hmob,0.04244756138832276
eog_kurt,0.04192174173560759
eeg_higuchi_p2min_norm,0.04137389744871786
eeg_nzc_p2min_norm,0.03963935525820875
eeg_alpha,0.039517001923655405
eog_skew,0.035958413159973106
eeg_kurt_p2min_norm,0.03556200793128236
eog_kurt_p2min_norm,0.034326838030934725
eog_alpha,0.033885864416197314
eeg_hmob_p2min_norm,0.033785208289683906
eeg_ds,0.03349457913866596
eeg_dt,0.03347334918748974
eeg_db_p2min_norm,0.032481761198169035
eeg_fdelta_p2min_norm,0.03124742977276236
eog_perm_p2min_norm,0.03067876481357501
eeg_skew_p2min_norm,0.029694543843690135
eog_sdelta,0.02925393536054901
eeg_dt_p2min_norm,0.02889814883739613
eeg_alpha_p2min_norm,0.028799684225770297
eog_theta_p2min_norm,0.028448778740936587
eog_alpha_p2min_norm,0.028063326248141264
eeg_hcomp_c7min_norm,0.027280306268935555
eog_skew_p2min_norm,0.02615896367681362
eeg_higuchi_c7min_norm,0.025037351524785915
eeg_sdelta,0.022032115834466137
eeg_theta_p2min_norm,0.020419386657593908
eeg_sdelta_c7min_norm,0.01552578060972966
eog_hmob_p2min_norm,0.013891882200290332
eog_sigma_p2min_norm,0.012404103767621598
