model,n,ALL,SC,ST
AnySleep 3ch,237936,0.8267,0.8085,0.8777
AnySleep 2EEG,237936,0.8134,0.797,0.8631
AnySleep Fpz,237936,0.8015,0.7895,0.8442
AnySleep Pz,237936,0.7736,0.7556,0.8287
RobustSleepNet Fpz,237936,0.7501,0.7362,0.7884
LightGBM bandpower,237310,0.6672,0.6717,0.5802
YASA Fpz+EOG crop,237936,0.5463,0.5313,0.5615
YASA Fpz,237936,0.5225,0.4858,0.6113
YASA Pz+EOG,237936,0.4272,0.3806,0.4985
E18 ensemble (fold-honest),237310,0.8315,0.8202,0.8722
clean-only ens (RSN+GBM+YASA),237310,0.7608,0.7525,0.7837
