run,model,recs,bench_macro,SC,ST,N1,N3,REM,full_macro
E11c,AnySleep 2EEG,197,0.8134,0.797,0.863,0.594,0.785,0.878,0.8214
E11,AnySleep 3ch,156,0.8099,0.809,0.867,0.605,0.743,0.89,0.8175
E11a,AnySleep Fpz only,197,0.8015,0.79,0.844,0.549,0.796,0.875,0.8093
E07,SLEEPYLAND U-Sleep,46,0.7912,0.795,0.644,0.457,0.808,0.907,0.7995
E11b,AnySleep Pz only,197,0.7736,0.756,0.829,0.531,0.748,0.844,0.7608
E20,RobustSleepNet Fpz,197,0.7501,0.736,0.788,0.442,0.717,0.855,0.7615
E02c,YASA Fpz+EOG (crop),197,0.5463,0.531,0.562,0.069,0.58,0.649,0.5463
E01,YASA Fpz,197,0.5225,0.486,0.611,0.1,0.538,0.557,0.5574
E02,YASA Fpz+EOG,197,0.5171,0.48,0.548,0.122,0.364,0.665,0.5582
E03,YASA Pz+EOG,197,0.4272,0.381,0.499,0.07,0.262,0.56,0.4744
E10,SleepFMStager,3,0.063,0.063,0.063,0.0,0.0,0.0,0.1487
